Provider ID,ACE Provider Name,Region,Funding Stream,Address,Address 1,Postcode,Phone ,Email,Contact,Street Address,Latitude,Longitude
103,Aberfoyle Community Centre Inc,Southern Adelaide,Foundation Skills Accredited,1 Jessica Street,Aberfoyle Park,5159,8270 5377,elljez@onkaparinga.sa.gov.au,Ellen Jezierski,"1 Jessica Street, Aberfoyle Park, 5159",-35.076106,138.589997
130,Aberfoyle Community Centre Inc,Southern Adelaide,Foundation Skills Non-Accredited,1 Jessica Street,Aberfoyle Park,5159,8270 5377,elljez@onkaparinga.sa.gov.au,Ellen Jezierski,"1 Jessica Street, Aberfoyle Park, 5159",-35.076106,138.589997
104,ac.care - Mt Gambier Community Centre,Limestone Coast,Foundation Skills Accredited,22 Ferrers Street,Mount Gambier,5290,8723 0540,sue@accare.org.au,Sue Watt,"22 Ferrers Street, Mount Gambier, 5290",-37.832261,140.779725
131,ac.care - Mt Gambier Community Centre,Limestone Coast,Foundation Skills Non-Accredited,22 Ferrers Street,Mount Gambier,5290,8723 0540,sue@accare.org.au,Sue Watt,"22 Ferrers Street, Mount Gambier, 5290",-37.832261,140.779725
188,ac.care Mt Gambier,Limestone Coast,Foundation Skills Accredited - Extension,22 Ferrers Street,Mount Gambier,5290,8723 0540,sue@accare.org.au,Sue Watt,"22 Ferrers Street, Mount Gambier, 5290",-37.832261,140.779725
105,Adelaide Hills Council,Adelaide Hills,Foundation Skills Accredited,28 Onkaparinga Valley Road,Woodside,5244,8408 0400,mail@ahc.sa.gov.au,Anne Ellis,"28 Onkaparinga Valley Road, Woodside, 5244",-34.954012,138.875206
132,Adelaide Hills Council,Adelaide Hills,Foundation Skills Non-Accredited,28 Onkaparinga Valley Road,Woodside,5244,8408 0400,mail@ahc.sa.gov.au,Anne Ellis,"28 Onkaparinga Valley Road, Woodside, 5244",-34.954012,138.875206
106,Advancing Whyalla,Whyalla,Foundation Skills Accredited,88 Hincks Avenue,WHYALLA NORRIE,5608,08 8645 5999,admin@advancingwhyalla.org.au,Cathy Hutchnson,"88 Hincks Avenue, WHYALLA NORRIE, 5608",-33.0217045,137.5447898
133,Advancing Whyalla,Whyalla,Foundation Skills Non-Accredited,88 Hincks Avenue,WHYALLA NORRIE,5608,08 8645 5999,admin@advancingwhyalla.org.au,Cathy Hutchnson,"88 Hincks Avenue, WHYALLA NORRIE, 5608",-33.0217045,137.5447898
189,Advancing Whyalla,Whyalla,Foundation Skills Accredited - Extension,88 Hincks Avenue,WHYALLA NORRIE,5608,08 8645 5999,admin@advancingwhyalla.org.au,Cathy Hutchnson,"88 Hincks Avenue, WHYALLA NORRIE, 5608",-33.0217045,137.5447898
107,Aldinga Community Centre,Southern Adelaide,Foundation Skills Accredited,Stewart Avenue,Aldinga Beach,5173,8556 5940,aldingacc@hotmail.com,Pam Mitchell,"Stewart Avenue, Aldinga Beach, 5173",-35.2729161,138.4551645
134,Aldinga Community Centre Inc,Southern Adelaide,Foundation Skills Non-Accredited,Stewart Avenue,Aldinga Beach,5173,8556 5940,aldingacc@hotmail.com,Pam Mitchell,"Stewart Avenue, Aldinga Beach, 5173",-35.2729161,138.4551645
108,Bagster Road Community Centre Inc,Northern Adelaide,Foundation Skills Accredited,17 Bagster Road,Salisbury North,5108,8250 4167,mgrinter@salisbury.sa.gov.au,Michelle Grinter,"17 Bagster Road, Salisbury North, 5108",-34.7548276,138.6320144
135,Bagster Road Community Centre Inc,Northern Adelaide,Foundation Skills Non-Accredited,17 Bagster Road,Salisbury North,5108,8250 4167,mgrinter@salisbury.sa.gov.au,Michelle Grinter,"17 Bagster Road, Salisbury North, 5108",-34.7548276,138.6320144
136,Baptist Care (SA) Eastern Adelaide,Eastern Adelaide,Foundation Skills Non-Accredited,130 Rose Terrace,Wayville,5034,æ8273 7100,,Carmen Frankie,"130 Rose Terrace, Wayville, 5034",-34.9432607,138.5853121
137,Baptist Care (SA) Mt Gambier,Limestone Coast,Foundation Skills Non-Accredited,130 Rose Terrace,Wayville,5034,æ8273 7100,,Lee-Ann Gassner,"130 Rose Terrace, Wayville, 5034",-34.9432607,138.5853121
138,Baptist Care (SA) Northern Adelaide,Northern Adelaide,Foundation Skills Non-Accredited,130 Rose Terrace,Wayville,5034,æ8273 7100,,Lee-Ann Gassner,"130 Rose Terrace, Wayville, 5034",-34.9432607,138.5853121
139,Baptist Care (SA) Riverland,Riverland,Foundation Skills Non-Accredited,130 Rose Terrace,Wayville,5034,æ8273 7100,,Lee-Ann Gassner,"130 Rose Terrace, Wayville, 5034",-34.9432607,138.5853121
109,Bedford Training,Southern Adelaide,Foundation Skills Accredited,615 Goodwood Road,PANORAMA,5041,8275 0361,pgaertner@bedfordgroup.com.au,Paul Gaertner,"615 Goodwood Road, PANORAMA, 5041",-34.992134,138.593917
140,BoysTown,Southern Flinders,Foundation Skills Non-Accredited,Threadgold Street,PORT PIRIE,5540,08 8633 3675,portpirie@boystown.com.au,Stephen Wales,"Threadgold Street, PORT PIRIE, 5540",-33.1952513,137.9957664
141,Catherine House Inc,Eastern Adelaide,Foundation Skills Non-Accredited,12 Queen Street,Adelaide,5000,8232 2282,reception@catherinehouse.org.au,Joanna Ellis,"12 Queen Street, Adelaide, 5000",-34.930417,138.6043984
110,Catherine House Incorporated,Eastern Adelaide,Foundation Skills Accredited,12 Queen Street,Adelaide,5000,8232 2282,reception@catherinehouse.org.au,Joanna Ellis,"12 Queen Street, Adelaide, 5000",-34.930417,138.6043984
111,Centacare Catholic Family Services,Northern Adelaide,Foundation Skills Accredited,33 Wakefield Street,ADELAIDE,5000,8210 8200,,Rille Walshe,"33 Wakefield Street, ADELAIDE, 5000",-34.9287139,138.6020361
142,Centacare Catholic Family Services,Northern Adelaide,Foundation Skills Non-Accredited,33 Wakefield Street,ADELAIDE,5000,8210 8200,,Rille Walshe,"33 Wakefield Street, ADELAIDE, 5000",-34.9287139,138.6020361
143,Centre for Equality Ltd,Eastern Adelaide,Foundation Skills Non-Accredited,81 Currie Street,ADELAIDE,5000,8110 1200,vchittleborough@centreforequality.org,Vahid Chittleborough,"81 Currie Street, ADELAIDE, 5000",-34.9246523,138.5965344
144,Christie Downs Community House Inc,Southern Adelaide,Foundation Skills Non-Accredited,Cnr Flaxmill and Morton Roads,Christie Downs,5165,8384 6894,allang@onkaparinga.sa.gov.au,Allison Angus,"Cnr Flaxmill and Morton Roads, Christie Downs, 5165",-35.1275744,138.4981062
112,City of Marion,Southern Adelaide,Foundation Skills Accredited,245 Sturt Road,STURT,5047,8375 6703,jane.brzezinski@marion.sa.gov.au,Jane Brzezinski/Cassandra Gibson-Pope,"245 Sturt Road, STURT, 5047",-35.0175102,138.5512518
145,City of Marion,Southern Adelaide,Foundation Skills Non-Accredited,245 Sturt Road,STURT,5047,8375 6703,jane.brzezinski@marion.sa.gov.au,Jane Brzezinski/Cassandra Gibson-Pope,"245 Sturt Road, STURT, 5047",-35.0175102,138.5512518
146,Community Transitions,Northern Adelaide,Foundation Skills Non-Accredited,234 Sturt Street,ADELAIDE,5000,8210 0800,lgarrett@communitytransitions.com.au,Leigh Garrett,"234 Sturt Street, ADELAIDE, 5000",-34.9333055,138.5898333
147,Coromandel Community Centre Inc,Southern Adelaide,Foundation Skills Non-Accredited,442B Main Road,Coromandel Valley,5051,8370 6880,info@coromandelcc.org.au,Jodie Kelley,"442B Main Road, Coromandel Valley, 5051",-35.051293,138.6202312
148,Disability Works Australia,Southern Adelaide,Foundation Skills Non-Accredited,297 Brighton Road,Somerton Park,5044,8276 0900,sa@dwa.org.au,Tina Zeleznik,"297 Brighton Road, Somerton Park, 5044",-35.001772,138.521434
149,District Council of Yankalilla,Fleurieu,Foundation Skills Non-Accredited,1 Charles Street,YANKALILLA,5203,08 8558 0200,council@yankalilla.sa.gov.au,Claire Taylor,"1 Charles Street, YANKALILLA, 5203",-35.457256,138.350836
114,DOME Association Inc,Eastern Adelaide,Foundation Skills Accredited,"Level 1, 54 Currie Street",Adelaide,5000,8410 4344,greg@dome.org.au,Greg Goudie,"Level 1, 54 Currie Street, Adelaide, 5000",-34.924079,138.597475
150,Eastwood Community Centre,Eastern Adelaide,Foundation Skills Non-Accredited,95 Glen Osmond Road,EASTWOOD,5063,8373 2225,eastwood@eastwood.asn.au,Allison Byrne,"95 Glen Osmond Road, EASTWOOD, 5063",-34.94437,138.622623
115,Elizabeth Community Connections,Northern Adelaide,Foundation Skills Accredited,82 Fairfield Road,ELIZABETH GROVE,5112,8255 6144,elizabethccp@gmail.com,Tammy Bruecher,"82 Fairfield Road, ELIZABETH GROVE, 5112",-34.7339741,138.6711299
151,Elizabeth Community Connections Project Inc,Northern Adelaide,Foundation Skills Non-Accredited,82 Fairfield Road,ELIZABETH GROVE,5112,8255 6144,elizabethccp@gmail.com,Tammy Bruecher,"82 Fairfield Road, ELIZABETH GROVE, 5112",-34.7339741,138.6711299
152,Encounter Centre Inc,Fleurieu,Foundation Skills Non-Accredited,42 Armstrong Road,VICTOR HARBOR,5211,08 8552 2995,encinc@hotmail.com,Mr Bruce Lindqvist,"42 Armstrong Road, VICTOR HARBOR, 5211",-35.5559308,138.6012368
190,Eyre Futures,Eyre,Foundation Skills Accredited - Extension,2/80 Tasman Terrace,PORT LINCOLN,5606,08 8682 4177,klawler@eyrefutures.com.au,Kristen Lawler,"2/80 Tasman Terrace, PORT LINCOLN, 5606",-34.721056,135.859219
116,Eyre Futures Incorporated,Eyre,Foundation Skills Accredited,2/80 Tasman Terrace,PORT LINCOLN,5606,08 8682 4177,klawler@eyrefutures.com.au,Kristen Lawler,"2/80 Tasman Terrace, PORT LINCOLN, 5606",-34.721056,135.859219
153,Finding Workable Solutions Inc,Kangaroo Island,Foundation Skills Non-Accredited,23 Mayfield Terrace,Victor Harbor,5211,08 8552 7654,kate.ollet@fws.org.au,Anita Saunders,"23 Mayfield Terrace, Victor Harbor, 5211",-35.5571237,138.6013598
154,Gawler Community House,Barossa,Foundation Skills Non-Accredited,2 Scheibener Terrace,GAWLER,5118,08 8522 4601,gawlerch@bigpond.com,Heather Barry,"2 Scheibener Terrace, GAWLER, 5118",-34.5996544,138.7461143
155,Hackham West Community Centre Inc,Southern Adelaide,Foundation Skills Non-Accredited,Cnr Majorca Road and Warsaw Crescent,Hackham West,5163,8384 1065,hackham@bigpond.net.au,Cathie Vincent,"Cnr Majorca Road and Warsaw Crescent, Hackham West, 5163",-35.1430039,138.5118019
156,Heta - Eyre & Western,Eyre,Foundation Skills Non-Accredited,"Village 2, 26 Stirling Street",Thebarton,5031,8212 7771,heta@heta.com.au,Leah McLay,"Village 2, 26 Stirling Street, Thebarton, 5031",-34.911335,138.572445
117,Hutt St Centre,Eastern Adelaide,Foundation Skills Accredited,258 Hutt Street,ADELAIDE,5000,8418 2500,naviani@huttstcentre.org.au,Navian Iscut,"258 Hutt Street, ADELAIDE, 5000",-34.9343015,138.6125884
157,Hutt Street Centre,Eastern Adelaide,Foundation Skills Non-Accredited,258 Hutt Street,ADELAIDE,5000,8418 2500,naviani@huttstcentre.org.au,Navian Iscut,"258 Hutt Street, ADELAIDE, 5000",-34.9343015,138.6125884
159,Lutheran Community Care - Barossa,Barossa,Foundation Skills Non-Accredited,PO Box 1020,PROSPECT EAST,5082,8562 2688,rrichter@lccsa.org.au,Robyn Richter,"PO Box 1020, PROSPECT EAST, 5082",-34.8874242,138.5941785
