Coober Pedy School Community Library,"Paxton Rd, Coober Pedy  5723",8672 4634,library@cooberpedy.sa.edu.au,http://www.cooberpedy.sa.gov.au/site/page.cfm?u=123,NULL,"School terms: Mon - Fri 8.30am - 6pm, Sun 11am - 4pm School holidays: Mon - Fri 12 noon - 6pm, Sun 11am - 4pm",The Dc Of Coober Pedy,134.749696,-29.013512
Roxby Downs Community Library,"Richardson Place, Roxby Downs  5725",8671 0660,roxbydowns.library@plain.sa.gov.au,NULL,NULL,"School term: Mon - Fri 8.30am - 5pm, Sat 9.30am - 12 noon, School holidays: Mon - Fri 9am - 5pm, Sat 9.30am - 12 noon, After hours returns available",Municipal Council Of Roxby Downs,136.896553,-30.561926
Hawker School Community Library,"Arkaba St, Hawker  5434",8648 4184,hawker.library@plain.sa.gov.au,http://www.libraries.sa.gov.au,NULL,"School terms: Mon 8.30am - 5.00pm, Tues, Thurs 10.30am - 5pm, Wed, Fri 8.30am - 4.30pm, School holidays: Mon, Tues, 10.30am - 5pm, Wed, Thurs 1pm - 5pm, Fri CLOSED",The Flinders Ranges Council,138.425208,-31.888345
Quorn School Community Library,"West Tce, Quorn  5433",8648 6705,quorn.library@plain.sa.gov.au,http://www.libraries.sa.gov.au,NULL,"School terms: Mon 8.30am - 4pm, Tues, Fri 8.30am - 6pm, Wed, Thurs 8.30am - 5pm, Sat 10am - 12 noon, School holidays: Tues 10am - 12 noon, 1pm - 6pm, Wed, Thurs 1pm - 5pm, Fri 1pm - 6pm, Sat 10am - 12 noon",The Flinders Ranges Council,138.032351,-32.349477
Ceduna School Community Library,"May Cres, Ceduna  5690",8625 3270,ceduna.library@plain.sa.gov.au,http://www.cedunaas.sa.edu.au/library.htm,NULL,"School terms: Mon, Wed, Fri 8.30am - 4pm, Tues 8.30am - 5.30pm, Thurs 8.30am - 4pm, 7pm - 9pm, Sat 9am - 11am School holidays: Mon, Wed, Thurs 9am - 4pm, Tues 9am - 5.30pm, Sat 9am - 11am Closed for lunch 12.30pm-1.30pm",The Dc Of Ceduna,133.673066,-32.137719
Orroroo School Community Library,"West Tce, Orroroo  5431",8658 1100,rosenblatt.jenny@plain.sa.gov.au,http://www.libraries.sa.gov.au,NULL,"Schol terms: Mon 8.45am - 4pm, Tues, Wed, Fri 8.45am - 5pm, Thurs 8.45am - 7pm School holidays: Tues 11am - 5pm, Wed 1pm - 5pm, Thurs 1pm - 7pm, Fri 10.30am - 5pm",The Dc Of Orroroo Carrieton,138.612249,-32.730478
Streaky Bay School Community Library,"109 Wells St, Streaky Bay  5680",8626 1492,longbottom.lorraine@plain.sa.gov.au,http://www.libraries.sa.gov.au,NULL,"School terms: Mon, Wed, Fri 8.30am - 4pm, Tues, Thurs 8.30am - 6.30pmSchool holidays: Mon, Wed 9am - 12 noon, 1pm - 4pm, Tues 12 noon - 6.30pm, Thurs 4pm - 6.30pm, Fri 12 noon - 4pm",The Dc Of Streaky Bay,134.206602,-32.797312
Flinders Mobile Library,"Booleroo Jamestown Rd, Appila  5480",8673 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,The Dc Of Mount Remarkable,138.42797,-33.051173
Flinders Mobile Library,"Stephens St, Booleroo Centre  5482",8665 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,The Dc Of Mount Remarkable,138.350358,-32.881696
Flinders Mobile Library,"Main North Rd, Melrose   5483",8666 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,The Dc Of Mount Remarkable,138.187902,-32.824734
Flinders Mobile Library,"Main North Rd, Murray Town  5481",8672 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,The Dc Of Mount Remarkable,138.240409,-32.936095
Flinders Mobile Library,"Esplanade, Port Germein   5495",8663 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,The Dc Of Mount Remarkable,137.998602,-33.022446
Flinders Mobile Library,"Main North Rd, Wilmington   5485",8667 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,The Dc Of Mount Remarkable,138.099582,-32.65251
Flinders Mobile Library,"Hillside Rd, Wirrabara   5481",8671 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,The Dc Of Mount Remarkable,138.268175,-33.032952
Port Augusta Public Library,"4 Mackay St, Port Augusta  5700",8641 9151,palibrary@portaugusta.sa.gov.au,http://www.portaugusta.sa.gov.au,NULL,"Mon, Wed, Fri 9am - 6pm, Tues, Thurs 9am - 8pm, Sat 10am - 1pm, Sun 2pm - 5pmAfter hours returns available",Port Augusta City Council,137.764139,-32.490882
Peterborough Community Library,"Queen St, Peterborough  5422",8651 2523,malycha.chris@plain.sa.gov.au,http://www.libraries.sa.gov.au,NULL,"Mon - Fri 9am - 4pm, Sat 9am - 12 noon",The Dc Of Peterborough,138.836299,-32.978104
Karcultaby School Community Library,"Phillips Rd, Karcultaby  5654",8626 3077,library@karcultas.sa.edu.au,http://www.karcultas.sa.edu.au/library.htm,NULL,"Mon 9am - 6pm, Tues - Fri 9am - 3.30pm",Wudinna District Council,135.155489,-32.85602
Wudinna School Community Library,"30 Medley Tce, Wudinna  5652",8680 2194,library@wudinnaas.sa.edu.au,http://www.wudinnaas.sa.edu.au/Library,NULL,"School terms: Mon 9am - 4pm, Tues, Thurs 9am - 5pm, Wed 9am - 6pm , Fri 9am - 4pm, School holidays: Tues 9am - 1pm, Wed 10am - 12 noon, 1pm - 6pm, Thurs 12 noon - 5pm, Fri 9am - 1pm",Wudinna District Council,135.461769,-33.045261
Kimba School Community Library,"69 West Tce, Kimba  5641",8627 2221,francis.therese@plain.sa.gov.au,http://www.libraries.sa.gov.au,NULL,"School terms: Mon 9am - 3.30pm, Tues - Fri 9am - 5pm, School holidays: Tues - Fri 10.15am - 12.30pm, 1pm - 4.30pm",The Dc Of Kimba,136.419404,-33.135536
Whyalla Library Service,"Ekblom St, Whyalla Norrie   5608",8645 7891,library@whyalla.sa.gov.au,http://www.whyalla.sa.gov.au,NULL,Mon - Wed 10am - 5pm Thurs 10am - 7pm Fri 10am - 5pm Sat 9am - 1pm Sun 1pm - 5pm ,The Corporation Of The City Of Whyalla,137.523698,-33.026569
Flinders Mobile Library,"14 Fifth St, Gladstone  5473",8662 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Northern Areas Council,138.3554,-33.2678
Flinders Mobile Library,"Main North Rd, Georgetown   5472",8668 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Northern Areas Council,138.392587,-33.359961
Flinders Mobile Library,"Railway Tce, Gulnare  5471",8669 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Northern Areas Council,138.44327,-33.466533
Flinders Mobile Library,"Civic Centre , Hughes St, Laura  5480",8662 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Northern Areas Council,138.300469,-33.185799
Flinders Mobile Library,"Town Hall, Main North Rd, Spalding   5454",8670 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Northern Areas Council,138.60718,-33.499293
Flinders Mobile Library,"Main North Rd, Yacka  5470",8676 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Northern Areas Council,138.444493,-33.570801
Jamestown School Community Library,"Humphris Tce, Jamestown  5491",8664 2713,NULL,http://www.jamestnr12.sa.edu.au/Library.htm,NULL,"School terms: Mon - Wed, Fri 9am - 5pm, Thurs 9am - 6pm (7pm daylight saving), School holidays: Tues, Wed, Fri 9am - 5pm, Thurs 10am - 6pm (11am - 7pm daylight saving), Closed for lunch 1pm - 1.30pm",Northern Areas Council,138.610261,-33.204361
Burra School Community Library,"7 Bridge Tce, Burra  5417",8892 2038,burra.library@plain.sa.gov.au,http://www.libraries.sa.gov.au,"Provides library services at:, Booborowie - next to Willis' office Mon - Fri 9am - 5pm, Hallett - Tues, Thurs 1.30pm - 4.30pm, Terowie - Tues 10am - 12 noon, Thurs 5pm - 6pm","School terms: Mon - Fri 8.30am - 6pm, School holidays: Mon - Fri 11am - 1pm, 2pm - 6pm, After hours returns available",The Regional Council Of Goyder,138.93869,-33.680277
Eudunda Robertstown School Community Library,"2 Reserve Rd, Eudunda  5374",8581 1587,sandy.smith@plain.sa.gov.au,http://www.libraries.sa.gov.au,NULL,NULL,The Regional Council Of Goyder,139.092448,-34.181098
Robertstown Link Library,"7 Commercial St, Robertstown SA 5381",(08) 8581 7209,pmatthew@eudundaas.sa.edu.au,http://www.goyder.sa.gov.au/site/page.cfm?u=100&c=473,NULL,NULL,The Regional Council Of Goyder,139.079585,-33.989874
Crystal Brook Public Library,"Bowman St, Crystal Brook  5523",8636 2150,library@pirie.sa.gov.au,http://www.pirie.sa.gov.au,NULL,"Tues 9am - 12 noon, Wed, Fri 12 noon - 5pm",Port Pirie Regional Council,138.207319,-33.351804
Flinders Mobile Library,"Town Hall, Sixth St, Koolunga   5464",8675 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Port Pirie Regional Council,138.33313,-33.587228
Flinders Mobile Library,"Oak St, Napperby   5540",8664 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Port Pirie Regional Council,138.113551,-33.152805
Flinders Mobile Library,"Ellis St, Redhill  5521",8674 2305,flindersmobile.library@plain.sa.gov.au,http://www.flindersmobile.sa.gov.au,NULL,NULL,Port Pirie Regional Council,138.22232,-33.537496
Port Pirie Public Library,"3 Wandearah Rd, Port Pirie  5540",8632 1649,library@pirie.sa.gov.au,http://www.pirie.sa.gov.au,NULL,"Mon - Fri 9am - 6pm, Sat 9am - 1pm, Sun 1pm - 5pm",Port Pirie Regional Council,138.010137,-33.176549
Lock School Community Library,"West Tce, Lock  5633",8689 1015,NULL,http://www.lockas.sa.edu.au,Free tea and coffee available in the Community Corner ,"School terms: Mon, Wed 8.30am - 4pm, Tues 8.30am - 6pm, Thurs 8.30am - 4pm, 6pm - 9pm, Fri 8.30am - 5pm School holidays: Tues, Thurs 10am - 7pm, Fri 10am - 5pm",The Dc Of Elliston,135.754601,-33.567869
Cowell School Community Library,"42 Story Rd, Cowell  5602",8629 2320,cowell.library@plain.sa.gov.au,http://www.cowellas.sa.edu.au,NULL,"School terms: Mon 9am - 4pm, Tues - Thurs 9am - 5pm, Fri 9am - 4pm School holidays: Tues - Thurs 11am - 5pm, Fri 11am - 4pm",The Dc Of Franklin Harbour,136.9186,-33.684355
Cleve School Community Library,"Second St, Cleve  5640",8628 2104,honan.margaret@plain.sa.gov.au,http://www.libraries.sa.gov.au,NULL,"School terms:, Mon 9am -12.5pm, 1.35pm - 3.10pm, Wed, Fri 9am - 5pm, Tues, Thurs 9am - 7pm, School holidays:, Tues, Thurs 11am - 2pm, 3pm - 7pm, Wed 10am - 1pm, 2pm - 5pm, Fri 9am - 1pm, 2pm - 5pm",The Dc Of Cleve,136.494088,-33.700373
Port Broughton School Community Library,"12 East Tce, Port Broughton  5522",8635 2863,lyn.brown@pbas.sa.edu.au,http://www.barungawest.sa.gov.au,NULL,Mon 8.30am - 5pm. Closed for lunch 12.45pm - 1.45pm,The Dc Of Barunga West,137.933842,-33.597665
Balaklava Community Library,"May Tce, Balaklava  5461",8862 1336,admin.bcl@balakhs.sa.edu.au,http://www.balakhs.sa.edu.au,NULL,"Mon - Fri 9am - 5pm, Thurs 9am - 9pm, Sat 9am - 12 noon",Wakefield Regional Council,138.414846,-34.149605
Snowtown School Community Library,"Glen Davidson Dr, Snowtown  5520",8865 2006,admin@snowtownas.sa.edu.au,http://www.snowtownas.sa.edu.au/library,NULL,"School terms: Mon 9am - 4pm, Tues - Fri 9am - 4.30pm, Sat 9am - 12 noon School holidays: Tues - Fri 9.30am - 3.45pm, Sat 9.30am - 12 noon",Wakefield Regional Council,138.223431,-33.785492
Hamley Bridge Library,Gilbert Street Hamley Bridge 54601,8528 2070, ,NULL,NULL,NULL,Wakefield Regional Council,138.680905,-34.356629
Blyth Community Library,August & Wakefied Street Blyth 5462,8844 5195,info@blythps.sa.edu.au,NULL,NULL,NULL,Wakefield Regional Council,138.490325,-33.844747
Brinkworth Community Library,Belling Street Brinkworth 5464,8846 2132,info@brinkwthps.sa.edu.au,NULL,NULL,NULL,Wakefield Regional Council,138.404313,-33.688604
Clare Library,"33 Old North Rd, Clare  5453",8842 3817,clare.library@plain.sa.gov.au,http://www.claregilbertvalleys.sa.gov.au,NULL,"Tues, Wed, Fri 10am - 6pm, Thurs 10am - 8pm, Sat 10am - 12 noon, Sun, 10am - 1pm",Clare And Gilbert Valleys Council,138.613135,-33.83328
Riverton Community Library,"Oxford Tce, Riverton  5412",8847 2414,NULL,http://www.claregilbertvalleys.sa.gov.au,NULL,"School terms: Tues 3pm - 6pm, Wed - Fri 10am - 6pm (closed for lunch 12.50pm - 1.40pm), Sat 10am - 12 noon School holidays: Tues - Fri 10am - 6pm (closed for lunch 1.30pm - 2pm)",Clare And Gilbert Valleys Council,138.750619,-34.156212
Saddleworth Library & Community Centre,"19 Belvidere Rd, Saddleworth  5413",8847 4096,saddleworth.library@plain.sa.gov.au,http://www.claregilbertvalleys.sa.gov.au,Incorporates the Saddleworth Rural Transaction Centre,"Tues - Fri 8.30am - 12pm, 1pm - 5pm, Sat 9.30 - 12pm",Clare And Gilbert Valleys Council,138.78285,-34.084803
Watervale Library,"Lot 293, Main North Road, Watervale",08 88474096,saddleworth.library@plain.sa.gov.au,http://www.claregilbertvalleys.sa.gov.au/site/page.cfm?u=171,NULL,Hours: Sat 9.30am-10.30am,Clare And Gilbert Valleys Council,138.645101,-33.958828
Manoora Library,"Manoora Institute Building, Barrier Highway, Manoora",08 88474096,saddleworth.library@plain.sa.gov.au,http://www.claregilbertvalleys.sa.gov.au/site/page.cfm?u=171,NULL,Hours: Fri 6pm-7.30pm,Clare And Gilbert Valleys Council,138.817424,-33.999957
Auburn Library,"6 St Vincent St, Auburn",08 88492414,saddleworth.library@plain.sa.gov.au,http://www.claregilbertvalleys.sa.gov.au/site/page.cfm?u=171,NULL,"Hours: Tues 3pm-4.30pm, Wed 11am-12 noon, Thurs 7pm-8pm, Fri 3pm-4.30pm",Clare And Gilbert Valleys Council,138.684639,-34.026455
Kadina Community Library,"1a Doswell Tce, Kadina  5554",8821 0444,kadina.library@plain.sa.gov.au,http://www.coppercoast.sa.gov.au,NULL,"Mon - Wed, Fri 9am - 5.30pm, Thurs 9am - 8pm, Sat 9am - 12 noon Toy library: Thurs 5pm - 8pm, Fri 9am - 5.30pm, Sat 9am - 11.30am",Dc Of The Copper Coast,137.716196,-33.960304
Moonta Community Library,"Blanche Tce, Moonta  5558",8825 1511,mlibrary@moontaas.sa.edu.au,http://www.coppercoast.sa.gov.au,NULL,"Tues, Wed, Fri 9am - 4pm, Thurs 9am - 6pm, Sun 1.30pm - 4pm",Dc Of The Copper Coast,137.592485,-34.06923
Wallaroo Library,"John St, Wallaroo  5556",8823 2924,NULL,http://www.coppercoast.sa.gov.au,NULL,Tues - Fri 9am - 5pm,Dc Of The Copper Coast,137.625242,-33.931125
Cambrai School Community Library,"1 Main St, Cambrai  5353",8564 5146,library@cambraias.sa.edu.au,http://www.libraries.sa.gov.au,NULL,"School term: Mon, Wed, Fri 9am - 3.30pm, Tues 9am - 3.30pm, 6.30pm - 8.30pm, Thurs 9am - 4.30pm School holidays: Tues 4.30pm - 8.30pm, Wed - Fri 9.30am - 4pm (closed 1pm - 1.30pm)",Mid Murray Council,139.2809,-34.656812
Mannum School Community Library,"Walker Ave, Mannum  5238",8569 2005,library@mcc.sa.edu.au,http://www.mcc.sa.edu.au,NULL,"School terms: Mon, Thurs, Fri 9am - 4pm, Tues 9am - 3.30pm, Wed 9am - 8pm, Sat 9.30am - 12 noon, School holidays: Mon - Fri 10am - 2pm, Wed 10am - 2pm, 4pm - 8pm, Sat 10am - 12 noon",Mid Murray Council,139.304682,-34.912718
Morgan Public Library,"Ninth St, Morgan  5320",8540 2290,morlib@mid-murray.sa.gov.au,http://www.loxtonwaikerie.sa.gov.au,NULL,"Mon 2.30pm - 5.30pm, Wed 1pm - 5pm, Fri 9am - 12 noon",Mid Murray Council,139.66874,-34.032898
Swan Reach School Community Library,"Showground Rd, Swan Reach  5354",8570 2053,NULL,http://www.swanrchas.sa.edu.au,NULL,"School terms: Mon, Thurs, Fri 9am - 4pm, Tues, Wed 9am - 5pm School holidays: Mon, Tues, Thurs, Fri 11am - 4pm",Mid Murray Council,139.601926,-34.572531
